12-02-2021@18:30:01 -0100,mean_dust_voltage,0.150793,mean_dust_density,2.259277
12-02-2021@19:00:01 -0100,mean_dust_voltage,0.161536,mean_dust_density,2.479296
12-02-2021@19:30:01 -0100,mean_dust_voltage,0.150867,mean_dust_density,1.392089
12-02-2021@20:00:01 -0100,mean_dust_voltage,0.135413,mean_dust_density,1.810937
12-02-2021@20:30:01 -0100,mean_dust_voltage,0.147070,mean_dust_density,1.755077
12-02-2021@21:00:01 -0100,mean_dust_voltage,0.154053,mean_dust_density,1.357909
12-02-2021@21:30:01 -0100,mean_dust_voltage,0.146643,mean_dust_density,2.627050
12-02-2021@22:00:01 -0100,mean_dust_voltage,0.163342,mean_dust_density,1.976756
12-02-2021@22:30:01 -0100,mean_dust_voltage,0.129687,mean_dust_density,0.753418
12-02-2021@23:00:01 -0100,mean_dust_voltage,0.126880,mean_dust_density,0.600390
12-02-2021@23:30:01 -0100,mean_dust_voltage,0.142847,mean_dust_density,0.909570
13-02-2021@00:00:01 -0100,mean_dust_voltage,0.162488,mean_dust_density,2.779979
13-02-2021@00:30:01 -0100,mean_dust_voltage,0.138965,mean_dust_density,0.394140
13-02-2021@01:00:01 -0100,mean_dust_voltage,0.164331,mean_dust_density,2.726757
13-02-2021@01:30:01 -0100,mean_dust_voltage,0.152441,mean_dust_density,1.429980
13-02-2021@02:00:01 -0100,mean_dust_voltage,0.168481,mean_dust_density,1.867675
13-02-2021@02:30:01 -0100,mean_dust_voltage,0.138977,mean_dust_density,0.821679
13-02-2021@03:00:01 -0100,mean_dust_voltage,0.125061,mean_dust_density,0.755859
13-02-2021@03:30:01 -0100,mean_dust_voltage,0.143652,mean_dust_density,1.100390
13-02-2021@04:00:01 -0100,mean_dust_voltage,0.132288,mean_dust_density,0.643945
13-02-2021@05:00:01 -0100,mean_dust_voltage,0.131067,mean_dust_density,0.599609
13-02-2021@05:30:01 -0100,mean_dust_voltage,0.144958,mean_dust_density,0.769238
13-02-2021@06:00:01 -0100,mean_dust_voltage,0.147449,mean_dust_density,0.926660
13-02-2021@06:30:01 -0100,mean_dust_voltage,0.131287,mean_dust_density,1.984277
13-02-2021@07:00:01 -0100,mean_dust_voltage,0.140308,mean_dust_density,0.901562
13-02-2021@07:30:01 -0100,mean_dust_voltage,0.131848,mean_dust_density,0.859179
13-02-2021@08:30:01 -0100,mean_dust_voltage,0.147485,mean_dust_density,2.574999
13-02-2021@09:00:01 -0100,mean_dust_voltage,0.148315,mean_dust_density,1.254199
13-02-2021@09:30:01 -0100,mean_dust_voltage,0.127649,mean_dust_density,0.924316
13-02-2021@10:00:01 -0100,mean_dust_voltage,0.165063,mean_dust_density,2.320506
13-02-2021@10:30:01 -0100,mean_dust_voltage,0.132288,mean_dust_density,0.357129
13-02-2021@11:00:01 -0100,mean_dust_voltage,0.131494,mean_dust_density,1.363379
13-02-2021@11:30:01 -0100,mean_dust_voltage,0.146594,mean_dust_density,0.945410
13-02-2021@12:00:01 -0100,mean_dust_voltage,0.142834,mean_dust_density,1.536230
13-02-2021@13:00:01 -0100,mean_dust_voltage,0.136951,mean_dust_density,1.245703
13-02-2021@13:30:02 -0100,mean_dust_voltage,0.159619,mean_dust_density,2.087401
13-02-2021@14:00:01 -0100,mean_dust_voltage,0.142676,mean_dust_density,1.149999
13-02-2021@14:30:01 -0100,mean_dust_voltage,0.143701,mean_dust_density,1.118652
13-02-2021@15:00:01 -0100,mean_dust_voltage,0.183582,mean_dust_density,4.651169
13-02-2021@15:30:01 -0100,mean_dust_voltage,0.181897,mean_dust_density,3.982517
13-02-2021@16:00:01 -0100,mean_dust_voltage,0.180322,mean_dust_density,3.530466
13-02-2021@16:30:01 -0100,mean_dust_voltage,0.190234,mean_dust_density,4.397556
13-02-2021@17:00:01 -0100,mean_dust_voltage,0.188940,mean_dust_density,3.909665
13-02-2021@17:30:01 -0100,mean_dust_voltage,0.207593,mean_dust_density,5.901266
13-02-2021@18:00:01 -0100,mean_dust_voltage,0.176233,mean_dust_density,2.941014
13-02-2021@18:30:01 -0100,mean_dust_voltage,0.152234,mean_dust_density,2.052538
13-02-2021@19:00:01 -0100,mean_dust_voltage,0.156104,mean_dust_density,1.249023
13-02-2021@19:30:01 -0100,mean_dust_voltage,0.138342,mean_dust_density,2.672753
13-02-2021@20:00:01 -0100,mean_dust_voltage,0.146252,mean_dust_density,1.253320
13-02-2021@20:30:01 -0100,mean_dust_voltage,0.148291,mean_dust_density,0.951074
13-02-2021@21:00:01 -0100,mean_dust_voltage,0.157520,mean_dust_density,2.399608
13-02-2021@21:30:01 -0100,mean_dust_voltage,0.152051,mean_dust_density,1.345312
13-02-2021@22:00:01 -0100,mean_dust_voltage,0.151709,mean_dust_density,0.966601
13-02-2021@22:30:01 -0100,mean_dust_voltage,0.146924,mean_dust_density,2.542871
13-02-2021@23:00:01 -0100,mean_dust_voltage,0.109106,mean_dust_density,0.229394
13-02-2021@23:30:01 -0100,mean_dust_voltage,0.116235,mean_dust_density,1.540429
14-02-2021@00:00:01 -0100,mean_dust_voltage,0.135132,mean_dust_density,0.567871
14-02-2021@00:30:01 -0100,mean_dust_voltage,0.133875,mean_dust_density,0.574414
14-02-2021@01:00:01 -0100,mean_dust_voltage,0.119861,mean_dust_density,0.435644
14-02-2021@01:30:01 -0100,mean_dust_voltage,0.138940,mean_dust_density,1.444237
14-02-2021@02:00:01 -0100,mean_dust_voltage,0.131396,mean_dust_density,0.493749
14-02-2021@02:30:01 -0100,mean_dust_voltage,0.135925,mean_dust_density,0.948632
14-02-2021@03:00:01 -0100,mean_dust_voltage,0.140820,mean_dust_density,0.726562
14-02-2021@03:30:01 -0100,mean_dust_voltage,0.135889,mean_dust_density,0.788378
14-02-2021@04:00:01 -0100,mean_dust_voltage,0.131836,mean_dust_density,0.639062
14-02-2021@04:30:01 -0100,mean_dust_voltage,0.123804,mean_dust_density,0.706640
14-02-2021@05:00:01 -0100,mean_dust_voltage,0.115308,mean_dust_density,0.426758
14-02-2021@05:30:01 -0100,mean_dust_voltage,0.139575,mean_dust_density,2.003808
14-02-2021@06:00:01 -0100,mean_dust_voltage,0.141223,mean_dust_density,0.871386
14-02-2021@06:30:01 -0100,mean_dust_voltage,0.132629,mean_dust_density,0.516211
14-02-2021@07:00:01 -0100,mean_dust_voltage,0.130115,mean_dust_density,1.273437
14-02-2021@07:30:01 -0100,mean_dust_voltage,0.137500,mean_dust_density,0.682519
14-02-2021@08:00:01 -0100,mean_dust_voltage,0.130225,mean_dust_density,0.709374
14-02-2021@08:30:01 -0100,mean_dust_voltage,0.130591,mean_dust_density,1.975683
14-02-2021@09:00:01 -0100,mean_dust_voltage,0.149060,mean_dust_density,2.376074
14-02-2021@09:30:01 -0100,mean_dust_voltage,0.151709,mean_dust_density,1.848632
14-02-2021@10:00:01 -0100,mean_dust_voltage,0.150708,mean_dust_density,1.205761
14-02-2021@10:30:01 -0100,mean_dust_voltage,0.147668,mean_dust_density,2.411034
14-02-2021@11:00:01 -0100,mean_dust_voltage,0.150012,mean_dust_density,1.839257
14-02-2021@11:30:01 -0100,mean_dust_voltage,0.147351,mean_dust_density,1.175292
14-02-2021@12:00:01 -0100,mean_dust_voltage,0.163477,mean_dust_density,3.697460
